5000 12498 
1 2105 1
1 2570 1
1 4302 1
1 491 1
1 4990 1
1 2986 1
1 3382 1
2 4472 1
2 3161 1
2 4733 1
3 3867 1
3 3083 1
3 3585 1
3 2281 1
3 530 1
4 3698 1
4 1754 1
4 1772 1
4 2694 1
4 17 1
4 1175 1
4 1506 1
4 2373 1
5 4084 1
5 3608 1
6 3304 1
6 2669 1
6 2873 1
6 2638 1
6 1823 1
6 2816 1
6 788 1
6 1047 1
6 2348 1
7 4997 1
7 1290 1
7 3489 1
8 4494 1
8 999 1
8 2156 1
8 4692 1
8 1651 1
8 1122 1
8 1373 1
8 101 1
9 3322 1
9 4472 1
9 816 1
9 4600 1
10 3998 1
10 2306 1
10 913 1
11 4570 1
11 2336 1
11 2593 1
12 274 1
12 4412 1
12 4102 1
12 2348 1
13 723 1
13 3095 1
14 2397 1
14 3529 1
14 4543 1
14 3170 1
14 4428 1
14 846 1
14 3234 1
14 1974 1
15 603 1
15 1358 1
16 2977 1
16 1697 1
16 3599 1
16 2958 1
16 406 1
16 4606 1
16 1377 1
17 2483 1
17 1628 1
17 1415 1
17 3691 1
17 3369 1
18 3287 1
18 4423 1
18 2459 1
18 232 1
18 103 1
18 1063 1
18 1689 1
19 1834 1
19 4104 1
19 428 1
20 4890 1
20 2869 1
21 4385 1
21 61 1
21 1242 1
22 3797 1
22 2083 1
22 2611 1
22 4243 1
22 1652 1
22 1924 1
22 1912 1
22 4815 1
23 4830 1
23 1900 1
24 465 1
24 86 1
24 2260 1
24 2679 1
24 118 1
25 558 1
25 2116 1
25 4627 1
25 676 1
25 3550 1
25 2424 1
25 1530 1
26 1483 1
26 1492 1
26 3482 1
26 4380 1
26 2081 1
26 4286 1
26 1550 1
27 4525 1
27 1328 1
27 1013 1
27 1993 1
27 1967 1
27 596 1
27 3033 1
27 2681 1
27 2558 1
27 2521 1
27 3704 1
28 3962 1
28 3876 1
28 3304 1
28 1896 1
29 3514 1
29 101 1
29 2988 1
29 1645 1
30 1761 1
30 4523 1
30 4137 1
30 4042 1
30 485 1
30 390 1
31 4809 1
31 286 1
31 2601 1
31 2965 1
31 1435 1
31 939 1
32 3833 1
32 4270 1
32 1200 1
32 3273 1
32 4286 1
33 3195 1
33 111 1
33 3095 1
33 3333 1
33 1617 1
33 3161 1
34 95 1
34 3771 1
35 4114 1
35 1861 1
35 130 1
35 4262 1
35 1323 1
36 3263 1
36 530 1
36 728 1
36 643 1
36 3066 1
37 4322 1
37 1220 1
37 1875 1
37 1288 1
37 4509 1
38 379 1
38 2356 1
38 3917 1
38 3893 1
38 3701 1
39 499 1
39 1267 1
39 2634 1
39 244 1
39 4671 1
39 96 1
40 2287 1
40 4173 1
40 2667 1
40 3283 1
40 2908 1
40 3258 1
41 4992 1
41 3006 1
41 4980 1
41 3091 1
42 4390 1
42 2762 1
42 3075 1
42 532 1
42 4492 1
43 3194 1
43 2428 1
44 928 1
44 180 1
44 2269 1
44 2239 1
45 4671 1
45 1754 1
45 3589 1
45 1221 1
46 1928 1
46 1420 1
46 168 1
46 296 1
46 3999 1
47 1197 1
47 3048 1
47 3699 1
47 4920 1
47 1560 1
47 1346 1
48 513 1
48 3490 1
48 4055 1
48 4296 1
48 4357 1
48 4033 1
49 3498 1
49 564 1
49 1341 1
49 463 1
50 3728 1
50 1731 1
50 588 1
50 3222 1
50 3556 1
51 4342 1
51 4249 1
51 3324 1
51 2958 1
51 348 1
51 4076 1
51 2792 1
52 3593 1
52 1544 1
52 1080 1
52 696 1
52 3449 1
52 1447 1
53 1701 1
53 1105 1
53 4861 1
53 1276 1
53 381 1
53 1220 1
54 4187 1
54 737 1
54 2342 1
54 2024 1
54 2557 1
54 3906 1
54 2464 1
55 2087 1
55 2082 1
55 4052 1
55 129 1
55 4986 1
55 1292 1
56 2046 1
56 3762 1
57 1470 1
57 338 1
58 3410 1
58 706 1
58 4476 1
58 3298 1
59 2805 1
59 1896 1
59 1156 1
59 2738 1
60 3335 1
60 4294 1
60 4288 1
60 1980 1
60 3927 1
60 4653 1
61 1980 1
61 2437 1
61 2073 1
61 82 1
61 1085 1
61 1273 1
61 3390 1
62 3622 1
62 2277 1
62 1144 1
62 2263 1
63 85 1
63 4932 1
64 2430 1
64 197 1
64 1342 1
64 1629 1
64 2482 1
64 1176 1
65 3188 1
65 3691 1
65 727 1
65 4811 1
65 3485 1
66 966 1
66 4209 1
66 3095 1
66 351 1
67 4030 1
67 4121 1
67 527 1
67 3151 1
67 411 1
67 3143 1
68 324 1
68 165 1
68 3985 1
68 4409 1
68 2517 1
69 3411 1
69 3297 1
70 544 1
70 4401 1
70 1536 1
70 4688 1
71 1275 1
71 3632 1
71 2778 1
71 491 1
71 1457 1
71 1099 1
72 581 1
72 457 1
73 1162 1
73 1309 1
73 138 1
73 1289 1
73 3467 1
74 2893 1
74 933 1
74 4332 1
74 3689 1
75 4597 1
75 497 1
75 1974 1
75 722 1
75 1426 1
75 3655 1
76 562 1
76 186 1
76 4714 1
76 885 1
76 2641 1
76 1090 1
76 1855 1
76 926 1
76 3893 1
77 2374 1
77 1577 1
77 1388 1
77 2176 1
78 89 1
78 557 1
78 934 1
78 3333 1
78 3435 1
78 4917 1
79 789 1
79 3043 1
79 1502 1
79 4118 1
79 469 1
79 2743 1
79 4145 1
79 2528 1
80 2459 1
80 2015 1
81 2647 1
81 2716 1
81 4023 1
82 2798 1
82 4591 1
82 927 1
82 1651 1
82 1404 1
83 2302 1
84 1160 1
85 741 1
85 4852 1
85 4983 1
85 4104 1
85 4351 1
85 2119 1
86 2574 1
86 2894 1
86 4834 1
86 2378 1
86 3558 1
86 4053 1
86 3479 1
86 4654 1
87 103 1
87 3777 1
87 3954 1
87 471 1
87 644 1
88 1309 1
88 1574 1
88 2428 1
88 2959 1
89 2675 1
89 3860 1
89 1077 1
89 4771 1
89 719 1
89 2341 1
90 2199 1
90 1773 1
90 1313 1
90 1523 1
91 4672 1
91 4919 1
91 4200 1
91 603 1
92 659 1
92 995 1
92 867 1
93 901 1
93 2601 1
93 345 1
93 1610 1
93 3702 1
93 1236 1
94 437 1
94 2725 1
94 1876 1
95 2588 1
95 1010 1
95 3639 1
95 1432 1
96 1278 1
96 311 1
96 1414 1
96 2385 1
96 2694 1
96 4343 1
96 2512 1
96 1340 1
96 4144 1
97 2017 1
97 1501 1
97 2224 1
97 3622 1
97 4538 1
97 260 1
98 2786 1
98 483 1
98 1011 1
98 1275 1
98 4473 1
98 1497 1
98 4276 1
99 2985 1
99 3408 1
99 2682 1
99 2015 1
99 3999 1
99 1151 1
99 1532 1
99 725 1
100 342 1
100 1355 1
101 1502 1
101 1910 1
102 1322 1
102 2047 1
102 3264 1
102 4412 1
102 890 1
103 887 1
103 1493 1
104 4644 1
104 1320 1
104 1286 1
104 4304 1
105 4459 1
105 1928 1
105 3707 1
105 948 1
105 1898 1
105 4527 1
105 1167 1
106 3699 1
106 4013 1
106 575 1
106 4259 1
106 1140 1
106 2735 1
106 5000 1
106 1486 1
106 1530 1
107 2428 1
107 488 1
108 2245 1
108 4564 1
108 1205 1
108 4112 1
108 4855 1
108 2786 1
108 2416 1
108 721 1
108 2448 1
108 557 1
108 4992 1
108 2229 1
109 3647 1
109 1293 1
109 642 1
110 3764 1
110 639 1
110 2652 1
110 126 1
110 1021 1
110 3694 1
110 2581 1
111 4371 1
111 4860 1
111 1570 1
111 1542 1
112 3824 1
112 3895 1
112 3344 1
112 3633 1
112 4085 1
112 528 1
112 4867 1
112 3713 1
113 3937 1
113 4509 1
113 1337 1
113 354 1
113 2472 1
113 4903 1
113 3473 1
113 4790 1
114 4395 1
114 433 1
115 3620 1
115 4586 1
115 799 1
115 2610 1
115 737 1
116 1840 1
116 2386 1
116 4543 1
116 2996 1
116 636 1
116 918 1
117 3678 1
117 2754 1
117 1120 1
117 2487 1
117 3032 1
118 335 1
118 3966 1
119 218 1
119 2231 1
119 3674 1
119 2871 1
119 2196 1
120 351 1
120 2535 1
120 3310 1
120 1203 1
120 432 1
120 722 1
121 4559 1
121 4172 1
121 3489 1
121 3788 1
121 3997 1
121 1410 1
121 3912 1
121 3469 1
122 1478 1
122 4864 1
122 3585 1
122 2452 1
122 3208 1
122 4404 1
122 2616 1
123 4541 1
123 238 1
124 4345 1
124 1651 1
124 3470 1
124 1407 1
124 2981 1
124 3686 1
124 2540 1
124 2851 1
124 397 1
125 3946 1
125 4003 1
125 4364 1
125 966 1
125 3913 1
125 1946 1
126 3865 1
126 3689 1
126 4568 1
126 4686 1
127 972 1
127 2741 1
127 1380 1
127 4155 1
127 1830 1
127 1777 1
127 2187 1
127 4010 1
128 3090 1
128 4801 1
128 411 1
128 4856 1
128 2237 1
128 2909 1
128 3613 1
128 1975 1
129 4206 1
129 2273 1
129 1497 1
129 3179 1
129 1773 1
129 915 1
129 858 1
130 1084 1
130 1054 1
130 962 1
130 4252 1
130 4019 1
130 2230 1
130 3079 1
130 1961 1
131 1807 1
132 2902 1
132 1855 1
132 1534 1
132 803 1
132 3046 1
132 3269 1
133 1457 1
133 3676 1
133 962 1
134 1764 1
134 1602 1
134 3076 1
134 3751 1
134 2881 1
134 1687 1
135 3425 1
135 1766 1
135 4253 1
135 640 1
135 3675 1
135 3944 1
135 1477 1
136 3816 1
136 4456 1
136 4824 1
136 3728 1
136 1683 1
136 2492 1
136 4334 1
137 4235 1
137 3620 1
137 469 1
137 3442 1
138 1009 1
138 384 1
138 3478 1
138 3716 1
138 2354 1
138 1126 1
138 535 1
138 4315 1
139 4779 1
139 3663 1
139 4338 1
139 2832 1
139 3913 1
139 3553 1
139 4672 1
139 1600 1
140 4020 1
141 3329 1
141 1185 1
141 4869 1
142 2148 1
142 3741 1
142 2213 1
142 4027 1
142 4530 1
142 3152 1
142 203 1
143 3653 1
143 1250 1
143 528 1
143 2588 1
144 874 1
144 636 1
145 2310 1
145 2028 1
145 3280 1
145 2098 1
145 3967 1
145 2314 1
145 1359 1
146 1472 1
146 941 1
146 3846 1
146 2551 1
146 3866 1
147 1889 1
147 586 1
147 4498 1
147 1768 1
147 4205 1
147 1161 1
147 2780 1
148 3530 1
149 4364 1
149 3210 1
149 4336 1
149 695 1
149 3397 1
150 2012 1
150 4404 1
151 692 1
151 3065 1
152 2678 1
152 1733 1
152 2812 1
152 4831 1
153 3932 1
153 917 1
153 1709 1
154 2452 1
155 1673 1
155 832 1
155 3534 1
155 296 1
156 4472 1
156 4534 1
156 4103 1
156 3606 1
156 2996 1
156 180 1
156 1131 1
156 534 1
156 1467 1
156 1503 1
156 2508 1
156 2559 1
157 4753 1
157 3706 1
157 1443 1
157 2090 1
157 3338 1
157 390 1
157 3931 1
157 2735 1
157 3758 1
158 3424 1
158 3717 1
158 2405 1
158 2630 1
159 368 1
159 2665 1
159 3111 1
159 876 1
159 832 1
160 4993 1
160 1111 1
160 407 1
160 944 1
160 2454 1
160 1639 1
160 2036 1
160 1282 1
160 3607 1
160 843 1
160 1291 1
161 2393 1
161 3865 1
161 1443 1
161 3288 1
161 4414 1
162 1591 1
162 4354 1
162 2715 1
162 3685 1
163 3211 1
163 284 1
163 4620 1
163 4348 1
163 4459 1
164 2200 1
164 2502 1
164 4107 1
165 2410 1
165 4318 1
165 2721 1
165 865 1
165 1378 1
166 1413 1
166 1669 1
166 2317 1
166 4514 1
166 1360 1
166 879 1
167 3122 1
168 2176 1
168 3260 1
168 4495 1
168 4706 1
