100 725 
1 28 1
1 31 1
1 33 1
1 35 1
1 66 1
1 88 1
2 3 1
2 6 1
2 11 1
2 34 1
2 40 1
2 43 1
2 61 1
2 71 1
2 90 1
2 92 1
2 99 1
3 9 1
3 20 1
3 23 1
3 25 1
3 27 1
3 35 1
3 39 1
3 47 1
3 48 1
3 50 1
3 56 1
3 58 1
3 61 1
3 64 1
3 72 1
3 74 1
3 78 1
3 85 1
3 89 1
3 90 1
3 93 1
3 98 1
4 12 1
4 16 1
4 27 1
4 36 1
4 48 1
4 54 1
4 58 1
4 96 1
4 98 1
4 100 1
5 8 1
5 11 1
5 12 1
5 16 1
5 22 1
5 24 1
5 35 1
5 36 1
5 42 1
5 45 1
5 47 1
5 49 1
5 59 1
5 62 1
5 66 1
5 67 1
5 71 1
5 75 1
5 77 1
5 79 1
5 87 1
5 92 1
6 16 1
6 20 1
6 24 1
6 26 1
6 28 1
6 31 1
6 42 1
6 46 1
6 53 1
6 58 1
6 66 1
6 74 1
6 78 1
6 79 1
7 13 1
7 21 1
7 46 1
7 47 1
7 49 1
7 55 1
7 69 1
7 85 1
7 96 1
7 98 1
7 99 1
8 16 1
8 24 1
8 26 1
8 29 1
8 34 1
8 35 1
8 41 1
8 48 1
8 58 1
8 62 1
8 64 1
8 65 1
8 66 1
8 68 1
8 71 1
8 77 1
8 88 1
9 12 1
9 19 1
9 21 1
9 31 1
9 33 1
9 34 1
9 52 1
9 57 1
9 65 1
9 70 1
9 71 1
9 72 1
9 79 1
9 80 1
9 85 1
9 91 1
10 37 1
10 44 1
10 49 1
10 59 1
10 62 1
10 79 1
10 83 1
10 94 1
11 25 1
11 26 1
11 32 1
11 38 1
11 77 1
11 86 1
11 95 1
11 99 1
12 15 1
12 22 1
12 28 1
12 42 1
12 45 1
12 51 1
12 71 1
12 82 1
12 95 1
13 17 1
13 18 1
13 27 1
13 40 1
13 42 1
13 51 1
13 59 1
13 66 1
13 79 1
13 84 1
13 87 1
13 89 1
13 92 1
14 16 1
14 19 1
14 39 1
14 50 1
14 54 1
14 56 1
14 63 1
14 74 1
14 79 1
14 80 1
14 89 1
14 92 1
14 94 1
15 18 1
15 24 1
15 25 1
15 26 1
15 36 1
15 45 1
15 50 1
15 51 1
15 55 1
15 72 1
15 80 1
15 82 1
15 92 1
15 94 1
16 26 1
16 29 1
16 31 1
16 41 1
16 47 1
16 56 1
16 63 1
16 65 1
16 76 1
16 77 1
16 81 1
17 18 1
17 28 1
17 31 1
17 32 1
17 41 1
17 49 1
17 57 1
17 58 1
17 66 1
17 71 1
17 73 1
17 77 1
17 79 1
17 80 1
17 83 1
17 86 1
17 89 1
17 90 1
17 100 1
18 20 1
18 21 1
18 26 1
18 32 1
18 34 1
18 42 1
18 50 1
18 57 1
18 62 1
18 63 1
18 75 1
18 87 1
18 99 1
19 29 1
19 31 1
19 36 1
19 37 1
19 38 1
19 52 1
19 53 1
19 69 1
19 73 1
19 76 1
19 84 1
19 85 1
19 93 1
20 27 1
20 31 1
20 37 1
20 45 1
20 47 1
20 51 1
20 55 1
20 66 1
20 67 1
20 68 1
20 73 1
20 83 1
20 85 1
20 94 1
21 22 1
21 44 1
21 45 1
21 46 1
21 53 1
21 72 1
21 76 1
21 79 1
21 84 1
21 86 1
21 88 1
21 90 1
21 91 1
21 100 1
22 29 1
22 33 1
22 34 1
22 50 1
22 54 1
22 55 1
22 56 1
22 59 1
22 64 1
22 70 1
22 76 1
22 81 1
23 26 1
23 50 1
23 60 1
