100 460 
1 4 1
1 11 1
1 14 1
1 59 1
1 68 1
1 69 1
1 70 1
1 75 1
1 83 1
1 88 1
2 12 1
2 15 1
2 28 1
2 45 1
2 55 1
2 59 1
2 77 1
2 97 1
3 6 1
3 10 1
3 11 1
3 12 1
3 54 1
3 70 1
3 77 1
3 82 1
3 98 1
4 14 1
4 35 1
4 40 1
4 42 1
4 77 1
4 94 1
4 96 1
5 38 1
5 62 1
5 69 1
5 81 1
5 82 1
5 86 1
5 92 1
5 96 1
5 99 1
6 28 1
6 35 1
6 52 1
6 57 1
6 77 1
6 86 1
7 16 1
7 17 1
7 19 1
7 23 1
7 50 1
7 64 1
7 65 1
7 77 1
7 99 1
8 9 1
8 15 1
8 27 1
8 33 1
8 35 1
8 50 1
8 54 1
8 73 1
8 98 1
9 16 1
9 26 1
9 34 1
9 35 1
9 51 1
9 80 1
9 81 1
9 84 1
9 86 1
10 55 1
10 56 1
10 66 1
10 81 1
10 82 1
10 89 1
10 95 1
10 99 1
11 22 1
11 34 1
11 39 1
11 41 1
11 46 1
11 94 1
11 100 1
12 31 1
12 36 1
12 44 1
12 68 1
12 88 1
12 93 1
12 94 1
12 100 1
13 15 1
13 27 1
13 63 1
13 75 1
13 76 1
13 86 1
13 96 1
14 15 1
14 18 1
14 27 1
14 51 1
14 63 1
14 75 1
14 78 1
14 91 1
15 20 1
15 25 1
15 37 1
15 50 1
15 51 1
15 54 1
15 73 1
15 99 1
16 24 1
16 30 1
16 41 1
16 71 1
16 76 1
16 77 1
16 80 1
16 84 1
16 94 1
16 96 1
17 29 1
17 30 1
17 35 1
17 39 1
17 43 1
17 51 1
17 72 1
17 73 1
17 78 1
18 20 1
18 49 1
18 53 1
18 56 1
18 73 1
18 79 1
19 26 1
19 43 1
19 64 1
19 75 1
19 80 1
19 93 1
19 96 1
19 100 1
20 38 1
20 43 1
20 53 1
20 54 1
20 94 1
20 96 1
20 98 1
21 48 1
21 63 1
21 73 1
21 78 1
21 87 1
21 99 1
22 36 1
22 39 1
22 74 1
22 77 1
22 85 1
22 93 1
23 32 1
23 75 1
23 79 1
23 81 1
23 85 1
23 99 1
23 100 1
24 27 1
24 29 1
24 57 1
24 58 1
24 61 1
24 73 1
24 90 1
24 98 1
25 52 1
25 55 1
25 75 1
25 77 1
25 83 1
26 28 1
26 37 1
26 50 1
26 57 1
26 60 1
26 70 1
27 42 1
27 45 1
27 58 1
27 60 1
27 61 1
27 71 1
27 75 1
27 83 1
27 93 1
28 33 1
28 43 1
28 67 1
28 68 1
28 75 1
28 94 1
29 34 1
29 44 1
29 51 1
29 72 1
29 77 1
29 96 1
29 98 1
29 99 1
30 47 1
30 75 1
30 79 1
30 82 1
30 93 1
31 45 1
31 53 1
31 54 1
31 70 1
31 91 1
31 97 1
32 45 1
32 46 1
32 52 1
32 55 1
32 58 1
32 73 1
32 90 1
32 100 1
33 34 1
33 37 1
33 48 1
33 100 1
34 44 1
34 49 1
34 57 1
34 78 1
34 93 1
34 100 1
35 44 1
35 51 1
35 57 1
35 67 1
35 68 1
35 76 1
35 90 1
36 38 1
36 48 1
36 53 1
36 79 1
36 81 1
36 94 1
37 45 1
37 51 1
37 59 1
37 63 1
37 72 1
37 77 1
37 95 1
38 49 1
38 57 1
38 59 1
38 63 1
38 79 1
38 99 1
39 40 1
39 43 1
39 50 1
39 62 1
39 89 1
40 69 1
40 84 1
40 85 1
40 97 1
41 52 1
41 54 1
41 55 1
41 66 1
41 92 1
41 97 1
41 99 1
42 62 1
42 68 1
42 76 1
42 89 1
42 97 1
42 98 1
43 48 1
43 52 1
43 59 1
43 60 1
43 85 1
43 93 1
43 98 1
44 63 1
44 87 1
44 92 1
45 55 1
45 58 1
45 61 1
45 78 1
46 50 1
46 52 1
46 68 1
46 77 1
46 89 1
46 93 1
46 96 1
47 67 1
47 69 1
47 74 1
47 96 1
47 99 1
48 61 1
48 79 1
48 80 1
48 95 1
49 58 1
49 75 1
49 79 1
49 80 1
49 84 1
49 86 1
49 94 1
50 55 1
50 56 1
50 65 1
50 68 1
50 93 1
50 95 1
50 100 1
51 64 1
51 67 1
51 76 1
51 78 1
51 80 1
51 81 1
51 85 1
51 94 1
52 76 1
52 77 1
52 78 1
52 91 1
52 94 1
52 97 1
53 62 1
53 74 1
53 99 1
54 56 1
54 82 1
54 87 1
55 60 1
55 71 1
56 57 1
56 65 1
56 76 1
56 77 1
56 94 1
57 65 1
57 68 1
57 70 1
57 85 1
57 93 1
57 95 1
58 72 1
58 84 1
58 86 1
58 98 1
59 65 1
59 81 1
60 62 1
60 73 1
60 87 1
60 91 1
61 64 1
61 67 1
61 85 1
61 87 1
61 89 1
61 100 1
62 93 1
62 94 1
63 64 1
63 65 1
63 77 1
63 82 1
64 70 1
64 74 1
64 84 1
64 86 1
64 88 1
64 91 1
65 82 1
65 98 1
66 71 1
66 75 1
67 79 1
67 96 1
67 98 1
68 79 1
68 89 1
69 82 1
69 88 1
70 82 1
70 89 1
70 90 1
70 91 1
71 90 1
72 87 1
72 95 1
73 78 1
73 85 1
74 100 1
75 81 1
75 84 1
75 96 1
76 89 1
76 94 1
76 99 1
77 84 1
77 88 1
77 99 1
78 87 1
78 95 1
79 86 1
79 99 1
79 100 1
81 85 1
81 88 1
81 89 1
82 98 1
82 99 1
83 89 1
83 100 1
84 85 1
84 95 1
84 98 1
86 98 1
89 91 1
89 92 1
90 93 1
90 94 1
91 95 1
94 98 1
94 100 1
95 99 1
98 100 1
