800 4661 
1 7 1
1 13 1
1 45 1
1 65 1
1 78 1
1 133 1
1 147 1
1 179 1
1 184 1
1 194 1
1 219 1
1 234 1
1 289 1
1 295 1
1 344 1
1 345 1
1 353 1
1 374 1
1 400 1
1 440 1
1 463 1
1 487 1
1 488 1
1 554 1
1 576 1
1 642 1
1 673 1
1 688 1
1 723 1
1 735 1
1 770 1
1 2 1
1 3 1
1 4 1
1 5 1
1 15 1
1 19 1
1 22 1
1 25 1
1 26 1
1 32 1
1 33 1
1 34 1
1 47 1
1 49 1
1 51 1
1 53 1
1 57 1
1 72 1
1 73 1
1 91 1
1 97 1
1 105 1
1 106 1
1 115 1
1 119 1
1 166 1
1 168 1
1 799 1
1 188 1
1 205 1
1 237 1
1 314 1
1 318 1
1 322 1
1 334 1
1 370 1
1 413 1
1 477 1
1 508 1
1 518 1
1 543 1
1 548 1
1 558 1
1 708 1
1 715 1
1 742 1
1 783 1
2 5 1
2 6 1
2 7 1
2 8 1
2 11 1
2 14 1
2 16 1
2 23 1
2 24 1
2 26 1
2 28 1
2 32 1
2 35 1
2 36 1
2 40 1
2 48 1
2 58 1
2 64 1
2 76 1
2 83 1
2 94 1
2 101 1
2 114 1
2 125 1
2 128 1
2 148 1
2 165 1
2 203 1
2 219 1
2 220 1
2 223 1
2 239 1
2 244 1
2 290 1
2 298 1
2 305 1
2 306 1
2 314 1
2 326 1
2 350 1
2 356 1
2 369 1
2 384 1
2 417 1
2 427 1
2 433 1
2 454 1
2 525 1
2 548 1
2 550 1
2 555 1
2 576 1
2 584 1
2 588 1
2 591 1
2 600 1
2 636 1
2 690 1
2 709 1
2 726 1
2 733 1
2 736 1
2 757 1
2 768 1
2 3 1
2 4 1
2 38 1
2 47 1
2 63 1
2 67 1
2 74 1
2 86 1
2 152 1
2 174 1
2 196 1
2 796 1
2 368 1
2 403 1
2 481 1
2 493 1
2 611 1
2 721 1
2 729 1
2 793 1
2 783 1
3 32 1
3 33 1
3 49 1
3 147 1
3 168 1
3 185 1
3 194 1
3 198 1
3 227 1
3 298 1
3 371 1
3 433 1
3 527 1
3 608 1
3 633 1
3 656 1
3 674 1
3 4 1
3 5 1
3 6 1
3 9 1
3 10 1
3 14 1
3 17 1
3 19 1
3 20 1
3 23 1
3 24 1
3 26 1
3 38 1
3 41 1
3 43 1
3 45 1
3 50 1
3 55 1
3 60 1
3 62 1
3 63 1
3 65 1
3 80 1
3 86 1
3 92 1
3 95 1
3 101 1
3 109 1
3 111 1
3 126 1
3 141 1
3 149 1
3 158 1
3 165 1
3 167 1
3 171 1
3 172 1
3 206 1
3 210 1
3 226 1
3 259 1
3 261 1
3 266 1
3 277 1
3 301 1
3 325 1
3 349 1
3 391 1
3 395 1
3 406 1
3 413 1
3 432 1
3 440 1
3 462 1
3 479 1
3 517 1
3 529 1
3 555 1
3 561 1
3 610 1
3 641 1
3 668 1
3 669 1
3 686 1
3 687 1
3 700 1
3 703 1
3 721 1
3 732 1
3 742 1
4 9 1
4 10 1
4 17 1
4 18 1
4 22 1
4 23 1
4 24 1
4 27 1
4 28 1
4 29 1
4 32 1
4 33 1
4 54 1
4 85 1
4 86 1
4 99 1
4 106 1
4 119 1
4 123 1
4 127 1
4 139 1
4 140 1
4 146 1
4 147 1
4 163 1
4 176 1
4 177 1
4 179 1
4 191 1
4 199 1
4 212 1
4 214 1
4 797 1
4 241 1
4 247 1
4 260 1
4 261 1
4 268 1
4 284 1
4 288 1
4 314 1
4 326 1
4 360 1
4 362 1
4 373 1
4 375 1
4 377 1
4 378 1
4 389 1
4 399 1
4 402 1
4 407 1
4 408 1
4 409 1
4 412 1
4 434 1
4 446 1
4 455 1
4 463 1
4 497 1
4 511 1
4 525 1
4 541 1
4 552 1
4 557 1
4 564 1
4 577 1
4 582 1
4 608 1
4 616 1
4 621 1
4 643 1
4 669 1
4 674 1
4 676 1
4 680 1
4 681 1
4 700 1
4 734 1
4 764 1
4 774 1
4 5 1
4 6 1
4 7 1
4 8 1
4 12 1
4 15 1
4 21 1
4 38 1
4 47 1
4 48 1
4 51 1
4 92 1
4 100 1
4 125 1
4 149 1
4 152 1
4 156 1
4 170 1
4 174 1
4 175 1
4 189 1
4 196 1
4 237 1
4 275 1
4 281 1
4 356 1
4 403 1
4 442 1
4 449 1
4 477 1
4 505 1
4 507 1
4 512 1
4 595 1
4 637 1
4 728 1
4 729 1
5 8 1
5 13 1
5 14 1
5 20 1
5 25 1
5 27 1
5 35 1
5 40 1
5 42 1
5 44 1
5 45 1
5 47 1
5 50 1
5 76 1
5 77 1
5 91 1
5 92 1
5 107 1
5 112 1
5 152 1
5 187 1
5 200 1
5 210 1
5 213 1
5 215 1
5 243 1
5 251 1
5 264 1
5 267 1
5 270 1
5 278 1
5 293 1
5 309 1
5 342 1
5 349 1
5 355 1
5 367 1
5 383 1
5 430 1
5 435 1
5 452 1
5 463 1
5 526 1
5 531 1
5 592 1
5 622 1
5 640 1
5 648 1
5 702 1
5 746 1
5 775 1
5 6 1
5 7 1
5 9 1
5 11 1
5 15 1
5 16 1
5 17 1
5 19 1
5 21 1
5 22 1
5 31 1
5 37 1
5 43 1
5 48 1
5 52 1
5 55 1
5 58 1
5 61 1
5 69 1
5 72 1
5 73 1
5 83 1
5 85 1
5 98 1
5 104 1
5 115 1
5 127 1
5 155 1
5 160 1
5 162 1
5 170 1
5 172 1
5 184 1
5 228 1
5 291 1
5 353 1
5 356 1
5 366 1
5 370 1
5 404 1
5 422 1
5 440 1
5 453 1
5 462 1
5 465 1
5 478 1
5 482 1
5 484 1
5 494 1
5 496 1
5 514 1
5 533 1
5 583 1
5 626 1
5 627 1
5 649 1
5 659 1
5 674 1
5 680 1
5 696 1
5 706 1
5 712 1
5 739 1
5 762 1
5 765 1
6 17 1
6 23 1
6 51 1
6 57 1
6 59 1
6 62 1
6 63 1
6 69 1
6 89 1
6 106 1
6 110 1
6 111 1
6 128 1
6 188 1
6 190 1
6 195 1
6 216 1
6 240 1
6 249 1
6 268 1
6 273 1
6 275 1
6 277 1
6 287 1
6 301 1
6 334 1
6 373 1
6 422 1
