100 384
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 12 1
1 14 1
1 15 1
1 17 1
1 20 1
1 21 1
1 22 1
1 24 1
1 35 1
1 37 1
1 39 1
1 40 1
1 42 1
1 52 1
1 54 1
1 64 1
1 70 1
1 84 1
1 89 1
1 93 1
2 6 1
2 8 1
2 20 1
2 32 1
2 50 1
2 76 1
2 86 1
3 6 1
3 7 1
3 8 1
3 12 1
3 14 1
3 18 1
3 25 1
3 27 1
3 34 1
3 43 1
3 44 1
3 56 1
3 61 1
3 65 1
3 67 1
3 82 1
3 85 1
3 88 1
4 6 1
4 7 1
4 9 1
4 10 1
4 17 1
4 30 1
4 31 1
4 36 1
4 47 1
4 51 1
4 56 1
4 58 1
4 72 1
4 74 1
5 10 1
5 12 1
5 16 1
5 18 1
5 21 1
5 22 1
5 33 1
5 38 1
5 42 1
5 95 1
5 98 1
6 7 1
6 9 1
6 11 1
6 13 1
6 14 1
6 15 1
6 16 1
6 18 1
6 24 1
6 26 1
6 40 1
6 41 1
6 45 1
6 53 1
6 58 1
6 67 1
7 8 1
7 10 1
7 11 1
7 12 1
7 13 1
7 14 1
7 15 1
7 16 1
7 17 1
7 19 1
7 23 1
7 24 1
7 28 1
7 29 1
7 33 1
7 34 1
7 40 1
7 42 1
7 44 1
7 48 1
7 51 1
7 61 1
7 64 1
7 68 1
7 80 1
7 85 1
7 99 1
7 100 1
8 9 1
8 19 1
8 22 1
8 29 1
8 54 1
8 56 1
8 77 1
8 89 1
8 94 1
8 99 1
9 11 1
9 19 1
9 21 1
9 23 1
9 33 1
9 36 1
9 38 1
9 43 1
9 46 1
9 54 1
9 60 1
9 69 1
9 71 1
9 72 1
9 75 1
9 83 1
9 84 1
9 91 1
9 92 1
9 95 1
10 11 1
10 13 1
10 22 1
10 23 1
10 27 1
10 48 1
10 58 1
10 59 1
10 60 1
10 80 1
11 26 1
11 30 1
11 49 1
11 53 1
11 67 1
11 70 1
11 94 1
12 13 1
12 15 1
12 25 1
12 30 1
12 33 1
12 40 1
12 52 1
12 53 1
12 63 1
12 64 1
12 67 1
12 73 1
12 81 1
12 87 1
13 16 1
13 17 1
13 21 1
13 23 1
13 25 1
13 28 1
13 41 1
13 47 1
13 48 1
13 74 1
14 20 1
14 29 1
14 55 1
14 92 1
15 18 1
15 20 1
15 26 1
15 30 1
15 37 1
15 38 1
15 57 1
15 66 1
15 85 1
15 87 1
15 91 1
15 97 1
16 31 1
16 59 1
17 19 1
17 26 1
17 27 1
17 28 1
17 34 1
17 35 1
17 48 1
17 49 1
17 66 1
17 68 1
17 79 1
17 86 1
17 99 1
18 45 1
18 49 1
18 63 1
18 93 1
19 32 1
19 44 1
19 86 1
19 90 1
20 32 1
20 39 1
20 77 1
21 24 1
21 27 1
21 43 1
21 65 1
21 82 1
21 96 1
22 25 1
22 32 1
22 36 1
22 38 1
22 41 1
22 47 1
22 50 1
22 62 1
22 71 1
22 81 1
22 86 1
22 87 1
23 37 1
23 49 1
23 56 1
23 77 1
23 79 1
24 31 1
24 35 1
24 66 1
25 59 1
25 83 1
26 28 1
26 29 1
26 39 1
26 50 1
26 65 1
26 71 1
26 80 1
26 88 1
26 96 1
27 31 1
27 34 1
27 37 1
27 44 1
27 45 1
27 51 1
27 55 1
27 57 1
27 58 1
27 70 1
27 73 1
27 78 1
27 82 1
27 88 1
27 91 1
27 93 1
27 97 1
28 42 1
28 47 1
28 78 1
28 89 1
29 35 1
29 55 1
29 64 1
29 73 1
30 39 1
31 70 1
32 46 1
32 57 1
33 62 1
34 36 1
34 41 1
34 45 1
34 46 1
34 59 1
34 79 1
36 61 1
36 83 1
37 43 1
37 50 1
37 75 1
37 78 1
37 96 1
38 73 1
39 57 1
39 76 1
40 51 1
40 52 1
40 65 1
40 75 1
40 78 1
41 55 1
41 60 1
41 81 1
42 46 1
42 61 1
42 62 1
42 72 1
42 84 1
42 90 1
44 60 1
44 72 1
45 54 1
46 62 1
46 84 1
47 63 1
48 53 1
48 87 1
49 52 1
49 98 1
50 68 1
50 69 1
51 83 1
51 85 1
52 97 1
53 66 1
53 77 1
53 80 1
53 94 1
54 76 1
56 93 1
58 69 1
58 74 1
58 94 1
58 96 1
58 100 1
59 82 1
60 92 1
61 63 1
61 75 1
62 68 1
62 90 1
63 100 1
65 79 1
66 74 1
67 69 1
68 71 1
72 76 1
74 81 1
74 98 1
75 100 1
77 90 1
80 88 1
80 92 1
81 98 1
85 89 1
87 91 1
87 95 1
89 95 1
92 97 1
94 99 1
