100 778 
1 2 1
1 11 1
1 17 1
1 31 1
1 32 1
1 33 1
1 34 1
1 39 1
1 46 1
1 47 1
1 50 1
1 59 1
1 64 1
1 66 1
1 70 1
1 74 1
1 79 1
1 81 1
1 90 1
1 93 1
1 98 1
2 7 1
2 14 1
2 16 1
2 21 1
2 23 1
2 34 1
2 35 1
2 36 1
2 42 1
2 45 1
2 47 1
2 48 1
2 60 1
2 72 1
2 75 1
2 81 1
2 83 1
2 91 1
2 97 1
3 10 1
3 13 1
3 17 1
3 24 1
3 26 1
3 48 1
3 53 1
3 54 1
3 56 1
3 57 1
3 65 1
3 78 1
3 84 1
3 87 1
3 91 1
3 100 1
4 5 1
4 15 1
4 18 1
4 21 1
4 26 1
4 27 1
4 34 1
4 35 1
4 36 1
4 43 1
4 72 1
4 73 1
4 75 1
4 87 1
4 90 1
4 97 1
5 9 1
5 13 1
5 14 1
5 15 1
5 22 1
5 28 1
5 30 1
5 38 1
5 47 1
5 49 1
5 50 1
5 51 1
5 68 1
5 80 1
5 93 1
6 16 1
6 29 1
6 43 1
6 47 1
6 48 1
6 54 1
6 59 1
6 64 1
6 86 1
6 88 1
7 11 1
7 14 1
7 16 1
7 30 1
7 49 1
7 58 1
7 62 1
7 75 1
7 80 1
7 87 1
7 90 1
7 98 1
7 100 1
8 13 1
8 14 1
8 30 1
8 34 1
8 38 1
8 42 1
8 50 1
8 53 1
8 64 1
8 84 1
8 89 1
9 10 1
9 18 1
9 19 1
9 25 1
9 43 1
9 50 1
9 54 1
9 55 1
9 57 1
9 59 1
9 60 1
9 63 1
9 64 1
9 75 1
9 78 1
9 92 1
9 97 1
9 100 1
10 11 1
10 17 1
10 19 1
10 24 1
10 29 1
10 38 1
10 41 1
10 45 1
10 70 1
10 72 1
10 76 1
10 83 1
10 86 1
10 98 1
11 26 1
11 27 1
11 29 1
11 38 1
11 43 1
11 44 1
11 60 1
11 68 1
11 81 1
12 27 1
12 30 1
12 32 1
12 54 1
12 55 1
12 58 1
12 60 1
12 74 1
12 79 1
12 82 1
13 17 1
13 20 1
13 22 1
13 34 1
13 37 1
13 46 1
13 49 1
13 53 1
13 57 1
13 59 1
13 65 1
13 70 1
13 80 1
13 82 1
13 87 1
13 90 1
13 91 1
13 98 1
14 19 1
14 23 1
14 24 1
14 27 1
14 29 1
14 30 1
14 33 1
14 49 1
14 55 1
14 71 1
14 83 1
14 84 1
14 86 1
14 100 1
15 19 1
15 20 1
15 22 1
15 23 1
15 48 1
15 52 1
15 53 1
15 55 1
15 61 1
15 66 1
15 75 1
15 79 1
15 82 1
15 84 1
15 87 1
16 33 1
16 40 1
16 43 1
16 46 1
16 47 1
16 60 1
16 66 1
16 70 1
16 93 1
16 97 1
17 19 1
17 26 1
17 36 1
17 42 1
17 46 1
17 62 1
17 68 1
17 77 1
17 85 1
17 88 1
17 92 1
17 100 1
18 21 1
18 22 1
18 26 1
18 29 1
18 36 1
18 48 1
18 52 1
18 66 1
19 25 1
19 38 1
19 44 1
19 45 1
19 55 1
19 57 1
19 69 1
19 85 1
19 91 1
19 97 1
19 100 1
20 24 1
20 35 1
20 38 1
20 52 1
20 54 1
20 59 1
20 75 1
20 84 1
20 87 1
21 28 1
21 33 1
21 34 1
21 37 1
21 38 1
21 43 1
21 56 1
21 62 1
21 66 1
21 75 1
21 76 1
21 86 1
21 95 1
22 30 1
22 40 1
22 41 1
22 46 1
22 50 1
22 56 1
22 57 1
22 80 1
22 81 1
22 96 1
23 39 1
23 40 1
23 49 1
23 51 1
23 63 1
23 67 1
23 69 1
23 71 1
23 81 1
23 84 1
23 89 1
24 26 1
24 35 1
24 50 1
