200 784 
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 10 1
1 13 1
1 16 1
1 20 1
1 24 1
1 26 1
1 31 1
1 34 1
1 38 1
1 42 1
1 52 1
1 56 1
1 65 1
1 81 1
1 102 1
1 121 1
1 134 1
1 151 1
1 196 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 13 1
2 16 1
2 18 1
2 21 1
2 27 1
2 33 1
2 41 1
2 44 1
2 52 1
2 82 1
2 101 1
2 109 1
2 135 1
2 151 1
2 179 1
3 6 1
3 14 1
3 17 1
3 18 1
3 24 1
3 28 1
3 46 1
3 47 1
3 55 1
3 74 1
3 81 1
3 98 1
3 107 1
3 127 1
3 138 1
3 160 1
3 166 1
3 172 1
3 195 1
4 6 1
4 8 1
4 10 1
4 11 1
4 12 1
4 15 1
4 20 1
4 22 1
4 23 1
4 28 1
4 29 1
4 30 1
4 31 1
4 32 1
4 37 1
4 43 1
4 46 1
4 48 1
4 54 1
4 65 1
4 67 1
4 72 1
4 76 1
4 80 1
4 81 1
4 84 1
4 105 1
4 120 1
4 123 1
4 126 1
4 146 1
4 160 1
4 162 1
4 172 1
4 179 1
5 7 1
5 9 1
5 11 1
5 15 1
5 20 1
5 35 1
5 43 1
5 47 1
5 52 1
5 86 1
5 97 1
5 111 1
5 115 1
5 123 1
5 130 1
5 137 1
5 158 1
5 159 1
6 7 1
6 8 1
6 11 1
6 12 1
6 18 1
6 19 1
6 25 1
6 27 1
6 28 1
6 30 1
6 32 1
6 34 1
6 35 1
6 39 1
6 44 1
6 53 1
6 57 1
6 62 1
6 68 1
6 69 1
6 82 1
6 83 1
6 84 1
6 89 1
6 94 1
6 104 1
6 106 1
6 109 1
6 112 1
6 113 1
6 118 1
6 119 1
6 125 1
6 138 1
6 144 1
6 158 1
6 159 1
6 187 1
7 8 1
7 9 1
7 12 1
7 13 1
7 14 1
7 17 1
7 23 1
7 25 1
7 26 1
7 28 1
7 30 1
7 35 1
7 40 1
7 42 1
7 43 1
7 45 1
7 47 1
7 51 1
7 54 1
7 60 1
7 64 1
7 67 1
7 73 1
7 75 1
7 76 1
7 90 1
7 95 1
7 97 1
7 99 1
7 100 1
7 106 1
7 110 1
7 116 1
7 124 1
7 128 1
7 131 1
7 132 1
7 141 1
7 142 1
7 143 1
7 147 1
7 149 1
7 185 1
7 195 1
8 9 1
8 14 1
8 29 1
8 40 1
8 41 1
8 47 1
8 49 1
8 59 1
8 85 1
8 96 1
8 130 1
8 135 1
8 150 1
8 160 1
9 10 1
9 15 1
9 17 1
9 25 1
9 29 1
9 37 1
9 58 1
9 63 1
9 66 1
9 73 1
9 74 1
9 77 1
9 85 1
9 87 1
9 103 1
9 115 1
9 116 1
9 122 1
9 150 1
9 168 1
9 183 1
9 186 1
9 187 1
9 189 1
10 13 1
10 14 1
10 26 1
10 45 1
10 50 1
10 59 1
10 62 1
10 63 1
10 71 1
10 72 1
10 73 1
10 77 1
10 91 1
10 110 1
10 122 1
10 125 1
10 200 1
11 12 1
11 17 1
11 32 1
11 48 1
11 53 1
11 90 1
11 92 1
11 137 1
11 152 1
11 193 1
12 18 1
12 19 1
12 22 1
12 33 1
12 37 1
12 57 1
12 62 1
12 64 1
12 81 1
12 86 1
12 97 1
12 98 1
12 104 1
12 107 1
12 110 1
12 148 1
12 156 1
12 163 1
12 175 1
12 176 1
12 178 1
13 15 1
13 16 1
13 19 1
13 30 1
13 32 1
13 71 1
13 93 1
13 97 1
13 98 1
13 111 1
13 143 1
13 152 1
13 153 1
13 155 1
13 181 1
13 185 1
14 16 1
14 24 1
14 34 1
14 41 1
14 46 1
14 70 1
14 87 1
14 92 1
14 104 1
14 109 1
14 133 1
14 177 1
14 180 1
15 21 1
15 23 1
15 54 1
15 108 1
15 144 1
15 185 1
15 190 1
16 19 1
16 34 1
16 36 1
16 38 1
16 41 1
16 55 1
16 150 1
16 163 1
16 167 1
17 20 1
17 21 1
17 22 1
17 24 1
17 25 1
17 26 1
17 35 1
17 36 1
17 39 1
17 48 1
17 58 1
17 67 1
17 78 1
17 101 1
17 120 1
17 123 1
17 140 1
17 172 1
17 180 1
18 27 1
18 31 1
18 45 1
18 49 1
18 77 1
18 78 1
18 84 1
18 88 1
18 101 1
18 112 1
18 124 1
18 129 1
18 139 1
18 156 1
19 22 1
19 33 1
19 36 1
19 39 1
19 53 1
19 68 1
19 78 1
19 86 1
19 87 1
19 95 1
19 100 1
19 105 1
19 107 1
19 113 1
19 117 1
19 126 1
19 132 1
19 168 1
19 183 1
20 21 1
20 33 1
20 42 1
20 43 1
20 52 1
20 55 1
20 63 1
20 103 1
20 119 1
20 182 1
21 31 1
21 100 1
21 163 1
21 166 1
21 168 1
22 23 1
22 27 1
22 44 1
22 51 1
22 54 1
22 56 1
22 57 1
22 58 1
22 69 1
22 70 1
22 82 1
22 91 1
22 94 1
22 96 1
22 99 1
22 103 1
22 130 1
22 132 1
22 133 1
22 135 1
22 136 1
22 146 1
22 148 1
22 155 1
22 164 1
22 198 1
23 38 1
23 53 1
23 62 1
23 85 1
23 107 1
24 106 1
24 109 1
24 118 1
24 147 1
25 29 1
25 63 1
25 66 1
25 92 1
25 171 1
25 173 1
25 196 1
25 199 1
26 36 1
26 40 1
26 45 1
26 61 1
26 82 1
26 83 1
26 169 1
26 171 1
26 182 1
27 147 1
27 156 1
28 38 1
28 50 1
28 76 1
28 87 1
28 90 1
28 122 1
28 159 1
29 149 1
30 51 1
30 60 1
30 61 1
30 66 1
30 72 1
30 84 1
30 91 1
30 108 1
30 110 1
30 167 1
31 56 1
31 67 1
31 69 1
31 73 1
31 161 1
31 183 1
32 48 1
32 55 1
32 69 1
32 86 1
32 134 1
32 136 1
32 145 1
32 154 1
32 167 1
33 37 1
33 50 1
33 61 1
33 75 1
33 104 1
33 117 1
33 136 1
33 173 1
34 61 1
35 39 1
35 92 1
35 131 1
37 44 1
37 46 1
37 64 1
37 66 1
37 93 1
37 142 1
37 149 1
37 153 1
37 160 1
38 85 1
38 164 1
39 40 1
39 128 1
39 150 1
39 155 1
40 125 1
40 128 1
40 159 1
41 42 1
41 59 1
41 134 1
41 194 1
42 126 1
42 199 1
43 70 1
43 102 1
43 154 1
43 175 1
43 178 1
44 49 1
44 111 1
45 75 1
45 89 1
45 95 1
45 161 1
46 51 1
46 68 1
46 80 1
46 88 1
46 89 1
46 93 1
46 166 1
46 170 1
47 49 1
47 50 1
47 65 1
47 71 1
47 94 1
47 121 1
48 56 1
48 58 1
48 139 1
48 164 1
48 191 1
48 194 1
49 64 1
49 75 1
49 77 1
49 103 1
49 192 1
50 115 1
50 133 1
51 176 1
51 190 1
52 171 1
53 114 1
53 120 1
53 144 1
53 151 1
53 179 1
54 57 1
54 59 1
54 65 1
54 140 1
54 176 1
55 60 1
55 79 1
55 132 1
55 162 1
55 175 1
56 70 1
56 72 1
56 116 1
56 145 1
56 153 1
56 190 1
56 192 1
56 193 1
57 60 1
57 83 1
57 96 1
57 113 1
57 166 1
57 171 1
57 187 1
58 98 1
61 78 1
61 79 1
62 88 1
62 106 1
62 118 1
62 121 1
62 127 1
62 141 1
62 169 1
62 181 1
62 194 1
62 198 1
62 200 1
63 129 1
63 165 1
64 89 1
64 90 1
64 129 1
64 149 1
64 158 1
65 108 1
65 151 1
65 154 1
65 163 1
65 168 1
65 174 1
66 71 1
66 74 1
66 80 1
66 126 1
67 68 1
67 79 1
67 80 1
67 108 1
67 130 1
67 141 1
67 145 1
67 153 1
67 157 1
67 184 1
68 76 1
68 111 1
68 125 1
68 138 1
68 142 1
69 79 1
69 117 1
69 124 1
70 74 1
70 131 1
70 177 1
71 137 1
72 190 1
73 191 1
74 137 1
74 176 1
74 198 1
75 181 1
76 94 1
76 173 1
77 83 1
77 99 1
77 145 1
77 188 1
77 192 1
78 88 1
78 165 1
78 174 1
79 105 1
79 170 1
79 181 1
79 197 1
80 127 1
80 157 1
80 161 1
81 121 1
82 146 1
82 148 1
82 182 1
82 197 1
83 183 1
84 112 1
84 122 1
84 135 1
84 154 1
84 174 1
85 102 1
85 114 1
85 141 1
85 170 1
85 187 1
85 193 1
85 195 1
85 199 1
86 184 1
87 91 1
88 177 1
89 95 1
89 113 1
89 195 1
90 175 1
91 93 1
91 96 1
91 192 1
92 123 1
92 143 1
92 197 1
93 99 1
93 100 1
93 102 1
93 147 1
93 157 1
93 182 1
94 158 1
94 165 1
95 134 1
95 164 1
95 184 1
96 119 1
98 105 1
98 129 1
98 156 1
98 170 1
99 101 1
99 117 1
99 118 1
99 138 1
99 173 1
99 189 1
101 165 1
101 196 1
102 115 1
102 127 1
102 189 1
103 116 1
104 139 1
106 114 1
108 112 1
110 180 1
111 114 1
111 152 1
112 172 1
114 128 1
115 140 1
115 142 1
115 143 1
116 119 1
116 120 1
116 169 1
117 169 1
120 124 1
120 162 1
120 178 1
124 133 1
124 191 1
125 148 1
125 186 1
126 131 1
126 152 1
128 136 1
128 146 1
128 198 1
129 177 1
130 140 1
130 186 1
131 184 1
132 174 1
134 188 1
136 139 1
139 186 1
142 144 1
142 157 1
143 180 1
143 200 1
146 162 1
147 185 1
150 188 1
152 155 1
157 193 1
158 161 1
158 194 1
160 191 1
163 167 1
167 197 1
169 179 1
172 189 1
173 178 1
173 196 1
182 188 1
191 199 1
193 200 1
