10000 9999 
1 3469 1
2 6498 1
2 7179 1
2 7463 1
3 7229 1
4 6903 1
4 9489 1
4 8719 1
4 9714 1
4 5104 1
5 8231 1
5 7248 1
5 1287 1
6 9136 1
6 9329 1
6 7793 1
7 2531 1
7 5155 1
7 919 1
7 5627 1
7 3048 1
8 3654 1
8 6400 1
8 2922 1
10 6397 1
11 125 1
11 9444 1
11 2356 1
11 25 1
11 6744 1
12 7838 1
12 9298 1
13 1924 1
14 6791 1
14 8194 1
14 7636 1
14 958 1
14 9086 1
15 9912 1
15 9148 1
15 2318 1
16 910 1
16 9868 1
19 6847 1
19 672 1
20 142 1
20 6960 1
21 9754 1
21 5474 1
21 8707 1
21 5675 1
21 2439 1
22 4671 1
23 9439 1
24 444 1
24 1887 1
25 3408 1
25 8072 1
25 4090 1
25 325 1
27 6723 1
28 5832 1
29 1806 1
29 984 1
29 6696 1
29 8297 1
30 995 1
30 4800 1
30 4039 1
30 3587 1
33 1527 1
33 8498 1
34 7419 1
34 7382 1
35 5338 1
35 3574 1
36 6009 1
37 7787 1
37 4704 1
38 8612 1
39 8773 1
39 3231 1
39 1340 1
39 2344 1
39 4335 1
40 279 1
40 4234 1
41 4786 1
41 2834 1
42 667 1
43 6088 1
43 9680 1
43 4313 1
44 5278 1
44 3971 1
44 8755 1
44 2239 1
44 1919 1
45 624 1
46 6054 1
46 3760 1
47 9909 1
48 4546 1
48 378 1
49 7021 1
50 5637 1
50 1999 1
51 2719 1
51 8555 1
51 750 1
51 3037 1
52 8233 1
53 9406 1
53 3849 1
54 4453 1
55 6381 1
55 2571 1
56 2935 1
56 850 1
56 2494 1
57 874 1
57 2296 1
57 574 1
57 4534 1
58 6346 1
60 1406 1
60 7291 1
60 1095 1
60 2477 1
60 9596 1
61 3044 1
61 4956 1
61 914 1
62 6440 1
62 3498 1
64 5659 1
64 7041 1
65 5921 1
67 1595 1
67 3135 1
68 9518 1
68 9575 1
69 9845 1
69 4118 1
69 9419 1
69 8937 1
70 5326 1
70 1479 1
71 4995 1
72 8792 1
72 1079 1
72 8787 1
74 5182 1
74 4954 1
74 9831 1
74 1401 1
74 7577 1
75 2663 1
75 6457 1
75 4065 1
76 4506 1
76 7306 1
77 5803 1
77 9622 1
77 243 1
77 6150 1
77 1551 1
78 8701 1
78 2605 1
79 2096 1
79 6884 1
79 3537 1
80 5914 1
81 3249 1
82 1634 1
82 5827 1
82 307 1
82 3764 1
82 2351 1
83 458 1
83 6008 1
83 4410 1
83 1114 1
83 3523 1
84 1323 1
84 5832 1
84 3935 1
84 1909 1
85 3489 1
85 1733 1
86 1752 1
86 9154 1
87 4413 1
87 6731 1
88 9302 1
88 9707 1
88 8045 1
89 1226 1
89 6723 1
90 4428 1
90 4149 1
90 3360 1
91 6557 1
92 6935 1
92 7574 1
93 1896 1
94 8959 1
94 8227 1
95 2983 1
96 4089 1
96 2036 1
97 4107 1
97 5984 1
97 4525 1
97 3678 1
98 7591 1
98 4416 1
98 4356 1
98 990 1
98 5257 1
98 4949 1
99 6923 1
100 7997 1
101 3315 1
101 1917 1
101 492 1
102 6283 1
102 8877 1
102 7115 1
102 3287 1
102 1455 1
103 5833 1
105 9758 1
105 6403 1
106 9529 1
106 9298 1
106 3729 1
106 4932 1
108 7363 1
108 2417 1
109 2283 1
109 6507 1
110 6327 1
110 8867 1
110 4362 1
111 8299 1
112 6883 1
112 2935 1
113 3613 1
113 1813 1
113 8709 1
114 3800 1
114 8954 1
114 9212 1
115 6173 1
117 8799 1
117 8356 1
117 7309 1
118 2470 1
119 4334 1
119 2604 1
119 7575 1
120 9717 1
120 1330 1
120 5313 1
121 9528 1
122 1611 1
122 2293 1
123 5985 1
123 8395 1
124 9161 1
125 2263 1
126 9200 1
126 4155 1
126 5650 1
127 3550 1
127 6864 1
127 6764 1
128 5696 1
128 9386 1
129 1512 1
129 1796 1
129 8021 1
129 161 1
129 8174 1
130 8658 1
130 9151 1
132 8885 1
132 8533 1
133 6884 1
133 3675 1
134 2293 1
134 5831 1
134 8536 1
135 2285 1
135 412 1
135 7747 1
136 664 1
136 3353 1
136 1300 1
136 9126 1
137 9823 1
137 8383 1
137 9725 1
138 7819 1
138 461 1
139 6838 1
139 2104 1
139 1178 1
140 5363 1
140 4857 1
141 4083 1
141 4345 1
141 2512 1
143 5841 1
143 2754 1
144 3530 1
144 7408 1
145 8437 1
146 3137 1
146 6424 1
148 9758 1
149 7225 1
150 9605 1
151 3725 1
151 6788 1
151 5217 1
151 9231 1
151 8329 1
152 9872 1
152 306 1
153 7556 1
153 531 1
153 3671 1
154 7012 1
155 8016 1
155 4430 1
155 4387 1
156 7647 1
156 9178 1
156 9114 1
156 5100 1
156 5694 1
157 6491 1
157 2281 1
157 8090 1
157 7480 1
158 9752 1
158 1305 1
158 2977 1
159 9853 1
159 5202 1
160 7581 1
161 1718 1
161 9549 1
161 1648 1
