700 4036 
1 92 1
1 158 1
1 160 1
1 318 1
1 349 1
1 451 1
1 468 1
1 507 1
1 559 1
1 585 1
1 635 1
2 15 1
2 122 1
2 257 1
2 298 1
2 304 1
2 444 1
2 552 1
2 609 1
2 635 1
3 81 1
3 145 1
3 152 1
3 185 1
3 359 1
3 379 1
3 408 1
3 439 1
3 470 1
3 589 1
3 634 1
3 655 1
3 693 1
4 23 1
4 72 1
4 123 1
4 154 1
4 207 1
4 264 1
4 273 1
4 284 1
4 293 1
4 320 1
4 378 1
4 410 1
4 435 1
4 495 1
4 503 1
4 674 1
4 696 1
5 97 1
5 160 1
5 205 1
5 233 1
5 345 1
5 455 1
5 628 1
6 26 1
6 32 1
6 187 1
6 210 1
6 259 1
6 283 1
6 372 1
6 404 1
6 434 1
6 457 1
6 485 1
6 545 1
6 549 1
6 564 1
6 643 1
6 645 1
6 656 1
6 680 1
7 128 1
7 190 1
7 223 1
7 276 1
7 291 1
7 297 1
7 417 1
7 567 1
7 603 1
7 635 1
7 698 1
8 51 1
8 139 1
8 210 1
8 213 1
8 262 1
8 571 1
8 641 1
8 695 1
9 37 1
9 58 1
9 144 1
9 174 1
9 207 1
9 255 1
9 318 1
9 418 1
9 471 1
9 488 1
9 623 1
9 649 1
9 672 1
10 37 1
10 39 1
10 71 1
10 75 1
10 112 1
10 175 1
10 177 1
10 226 1
10 241 1
10 354 1
10 422 1
10 424 1
10 519 1
10 546 1
10 552 1
10 569 1
10 611 1
10 621 1
10 654 1
10 658 1
11 65 1
11 169 1
11 220 1
11 363 1
11 512 1
11 638 1
11 641 1
11 661 1
12 193 1
12 228 1
12 231 1
12 288 1
12 331 1
12 339 1
12 341 1
12 454 1
12 497 1
12 514 1
12 634 1
12 658 1
12 691 1
12 697 1
13 23 1
13 43 1
13 45 1
13 49 1
13 112 1
13 122 1
13 217 1
13 221 1
13 292 1
13 299 1
13 366 1
13 388 1
13 418 1
13 476 1
13 515 1
14 291 1
14 336 1
14 373 1
14 401 1
14 444 1
14 569 1
14 680 1
14 688 1
15 234 1
15 249 1
15 376 1
15 399 1
15 458 1
15 494 1
15 502 1
15 518 1
15 521 1
15 587 1
15 607 1
15 608 1
15 700 1
16 219 1
16 363 1
16 370 1
16 530 1
16 544 1
16 581 1
16 610 1
17 19 1
17 29 1
17 107 1
17 108 1
17 129 1
17 209 1
17 259 1
17 336 1
17 400 1
17 426 1
17 504 1
17 549 1
17 664 1
17 667 1
18 32 1
18 36 1
18 50 1
18 327 1
19 42 1
19 110 1
19 215 1
19 361 1
19 405 1
19 429 1
19 437 1
19 582 1
20 44 1
20 78 1
20 79 1
20 137 1
20 169 1
20 182 1
20 335 1
20 495 1
20 623 1
20 675 1
21 101 1
21 104 1
21 119 1
21 346 1
21 356 1
21 421 1
21 573 1
21 600 1
21 687 1
22 30 1
22 46 1
22 92 1
22 118 1
22 162 1
22 276 1
22 297 1
22 331 1
22 429 1
22 459 1
22 539 1
22 564 1
22 593 1
22 616 1
22 690 1
23 61 1
23 129 1
23 363 1
23 387 1
23 461 1
23 544 1
23 574 1
23 582 1
23 619 1
23 622 1
23 624 1
23 626 1
23 648 1
24 61 1
24 201 1
24 266 1
24 352 1
24 362 1
24 387 1
24 480 1
24 543 1
24 608 1
24 656 1
24 694 1
25 125 1
25 194 1
25 200 1
25 270 1
25 350 1
25 352 1
25 391 1
25 403 1
25 407 1
25 442 1
25 494 1
25 594 1
25 620 1
25 640 1
25 658 1
25 678 1
25 684 1
26 77 1
26 98 1
26 188 1
26 231 1
26 520 1
26 539 1
26 632 1
26 647 1
26 649 1
26 652 1
27 37 1
27 85 1
27 139 1
27 213 1
27 286 1
27 376 1
27 449 1
28 83 1
28 302 1
28 341 1
28 590 1
28 637 1
28 683 1
29 130 1
29 144 1
29 200 1
29 250 1
29 299 1
29 321 1
29 437 1
29 489 1
30 49 1
30 79 1
30 109 1
30 115 1
30 207 1
30 303 1
30 363 1
30 375 1
30 384 1
30 434 1
30 483 1
30 543 1
30 563 1
30 567 1
31 60 1
31 155 1
31 314 1
31 348 1
31 438 1
31 520 1
31 565 1
31 614 1
32 106 1
32 162 1
32 245 1
32 267 1
32 348 1
32 391 1
32 411 1
32 561 1
32 633 1
32 636 1
32 678 1
33 54 1
33 155 1
33 209 1
33 237 1
33 303 1
33 420 1
33 437 1
33 512 1
33 527 1
33 574 1
33 636 1
34 147 1
34 180 1
34 206 1
34 260 1
34 312 1
34 330 1
34 351 1
34 373 1
34 405 1
34 538 1
34 618 1
34 679 1
35 54 1
35 72 1
35 369 1
35 552 1
35 567 1
35 579 1
35 612 1
36 80 1
36 180 1
36 318 1
36 330 1
36 674 1
36 693 1
36 699 1
37 113 1
37 193 1
37 223 1
37 259 1
37 267 1
37 323 1
37 334 1
37 339 1
37 343 1
37 345 1
37 453 1
37 593 1
38 219 1
38 319 1
38 514 1
38 538 1
38 554 1
38 556 1
39 146 1
