100 384 
1 5 1
1 6 1
1 7 1
1 8 1
1 20 1
1 23 1
1 49 1
1 54 1
1 58 1
1 64 1
1 99 1
2 5 1
2 11 1
2 22 1
2 29 1
2 37 1
2 43 1
2 58 1
2 62 1
2 66 1
2 75 1
2 76 1
2 82 1
2 92 1
2 98 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 15 1
3 16 1
3 21 1
3 24 1
3 25 1
3 27 1
3 28 1
3 30 1
3 32 1
3 33 1
3 39 1
3 42 1
3 47 1
3 49 1
3 50 1
3 66 1
3 74 1
3 83 1
3 84 1
3 90 1
4 5 1
4 6 1
4 7 1
4 8 1
4 12 1
4 15 1
4 17 1
4 24 1
4 27 1
4 28 1
4 29 1
4 30 1
4 35 1
4 43 1
4 48 1
4 70 1
4 81 1
4 83 1
5 6 1
5 7 1
5 10 1
5 12 1
5 13 1
5 28 1
5 30 1
5 32 1
5 34 1
5 35 1
5 39 1
5 40 1
5 45 1
5 48 1
5 49 1
5 50 1
5 53 1
5 54 1
5 55 1
5 57 1
5 70 1
5 74 1
5 79 1
5 84 1
5 85 1
5 87 1
5 91 1
5 94 1
6 8 1
6 9 1
6 10 1
6 12 1
6 14 1
6 16 1
6 22 1
6 23 1
6 26 1
6 27 1
6 32 1
6 37 1
6 43 1
6 48 1
6 54 1
6 55 1
6 56 1
6 78 1
6 79 1
6 81 1
6 86 1
6 87 1
6 96 1
6 97 1
7 9 1
7 10 1
7 14 1
7 15 1
7 19 1
7 22 1
7 27 1
7 38 1
7 44 1
7 48 1
7 57 1
7 96 1
8 9 1
8 14 1
8 15 1
8 16 1
8 17 1
8 21 1
8 24 1
8 33 1
8 40 1
8 46 1
8 59 1
8 60 1
8 89 1
9 11 1
9 17 1
9 18 1
9 25 1
9 33 1
9 42 1
9 59 1
9 95 1
10 11 1
10 13 1
10 18 1
10 20 1
10 26 1
10 41 1
10 62 1
10 69 1
10 72 1
10 84 1
10 86 1
10 93 1
11 13 1
11 14 1
11 36 1
11 45 1
11 46 1
11 57 1
11 95 1
12 19 1
12 24 1
12 26 1
12 29 1
12 39 1
12 42 1
12 63 1
12 83 1
13 18 1
13 19 1
13 21 1
13 28 1
13 31 1
13 49 1
13 69 1
13 78 1
13 96 1
14 16 1
14 17 1
14 20 1
14 21 1
14 35 1
14 39 1
14 41 1
14 51 1
14 54 1
14 89 1
14 95 1
15 23 1
15 38 1
15 53 1
15 74 1
15 85 1
16 18 1
16 25 1
16 33 1
16 43 1
16 47 1
16 56 1
16 57 1
16 59 1
16 81 1
16 86 1
16 87 1
16 92 1
16 100 1
17 20 1
17 44 1
17 51 1
17 52 1
17 76 1
17 88 1
18 19 1
18 34 1
18 75 1
19 36 1
19 51 1
19 89 1
20 23 1
20 26 1
20 31 1
20 34 1
20 37 1
20 46 1
20 52 1
20 53 1
20 62 1
20 72 1
21 22 1
21 30 1
21 50 1
21 53 1
21 63 1
21 67 1
21 76 1
21 92 1
21 93 1
22 38 1
22 61 1
22 63 1
22 77 1
22 85 1
22 88 1
23 25 1
23 34 1
23 40 1
23 41 1
23 44 1
23 96 1
23 99 1
24 29 1
24 56 1
24 65 1
24 72 1
24 73 1
24 87 1
25 31 1
25 40 1
25 52 1
25 58 1
25 61 1
25 64 1
25 66 1
25 70 1
25 82 1
25 91 1
26 67 1
26 93 1
27 75 1
28 31 1
28 32 1
28 36 1
28 60 1
28 63 1
28 64 1
28 76 1
28 100 1
29 38 1
29 98 1
30 65 1
31 36 1
31 42 1
31 45 1
31 65 1
31 71 1
31 73 1
31 79 1
31 86 1
32 35 1
32 73 1
32 90 1
33 47 1
33 69 1
34 47 1
35 37 1
35 41 1
35 61 1
36 45 1
36 46 1
36 59 1
36 71 1
36 77 1
36 80 1
36 85 1
36 90 1
36 91 1
36 93 1
37 79 1
38 97 1
39 74 1
39 81 1
40 80 1
41 84 1
41 92 1
42 44 1
42 60 1
42 73 1
44 50 1
44 58 1
44 68 1
46 80 1
47 55 1
47 56 1
47 61 1
47 69 1
47 94 1
48 55 1
48 65 1
48 80 1
49 51 1
49 52 1
49 68 1
50 98 1
52 70 1
52 75 1
53 64 1
53 99 1
54 62 1
54 67 1
57 60 1
57 71 1
58 68 1
58 83 1
62 67 1
62 77 1
62 95 1
63 97 1
65 66 1
66 68 1
66 71 1
66 72 1
66 82 1
66 89 1
66 99 1
71 82 1
72 90 1
73 94 1
74 77 1
74 91 1
75 100 1
76 78 1
77 78 1
80 88 1
80 98 1
81 88 1
81 97 1
83 94 1
94 100 1
