// obj: 273.0
// running_duration: 74.84211492538452
// num_nodes: 100
// alg_name: greedy
1 1
2 2
3 2
4 2
5 2
6 2
7 2
8 1
9 2
10 1
11 1
12 2
13 2
14 1
15 2
16 1
17 1
18 1
19 2
20 1
21 1
22 2
23 1
24 2
25 1
26 2
27 2
28 1
29 2
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 2
38 1
39 2
40 2
41 1
42 2
43 1
44 1
45 1
46 2
47 1
48 2
49 2
50 1
51 1
52 1
53 1
54 2
55 1
56 1
57 1
58 1
59 2
60 2
61 1
62 1
63 2
64 1
65 1
66 1
67 1
68 2
69 2
70 2
71 1
72 1
73 1
74 2
75 1
76 1
77 2
78 1
79 2
80 2
81 1
82 1
83 2
84 1
85 1
86 1
87 1
88 1
89 2
90 1
91 1
92 1
93 2
94 2
95 1
96 1
97 1
98 1
99 1
100 1
